key,value,type,"aws_account_id"
AZs,"eu-west-2a","vpc_subnets",446537062602
AZs,"eu-west-2b","vpc_subnets",446537062602
Dependencies,"mgmt-01-rancher-server-asg","ec2_instances",446537062602
Dependencies,"stratauth-01-rancher-server-asg","ec2_instances",446537062602
Env,mgmt,"ec2_instances",446537062602
Env,mgmt,"ec2_security_groups",446537062602
Env,mgmt,"vpc_subnets",446537062602
Env,mgmt,vpcs,446537062602
Env,stratauth,"ec2_instances",446537062602
Env,stratauth,"ec2_security_groups",446537062602
Env,stratauth,"vpc_subnets",446537062602
Env,stratauth,vpcs,446537062602
"IAM_ROLE","mgmt-01-ecsFromRancher","ec2_instances",446537062602
"IAM_ROLE","mgmt-01-secretsFromRancher","ec2_instances",446537062602
"IAM_ROLE","stratauth-01-ecsFromRancher","ec2_instances",446537062602
Name,"DEV (Unstable)","ec2_instances",446537062602
Name,"DEV (Unstable)","ec2_volumes",446537062602
Name,"Investigation (Dataload)","ec2_instances",446537062602
Name,Profiling,"ec2_instances",446537062602
Name,Profiling,"ec2_volumes",446537062602
Name,"Splunk-Experimental","ec2_volumes",446537062602
Name,"Splunk-Experimental-Env","ec2_instances",446537062602
Name,SplunkIndexer,"ec2_instances",446537062602
Name,Stable,"ec2_instances",446537062602
Name,Stable,"ec2_volumes",446537062602
Name,"Stable-Full Data","ec2_volumes",446537062602
Name,Test,"vpc_subnets",446537062602
Name,"auth-audit-rds-rds-5432-sg","ec2_security_groups",446537062602
Name,default,"ec2_security_groups",446537062602
Name,default,vpcs,446537062602
Name,"mgmt-01-frontedge-subnet","vpc_subnets",446537062602
Name,"mgmt-01-private-subnet","vpc_subnets",446537062602
Name,"mgmt-01-r-host-grafana-alb-sg","ec2_security_groups",446537062602
Name,"mgmt-01-r-host-mgmt-alb-sg","ec2_security_groups",446537062602
Name,"mgmt-01-r-host-prometheus-alb-sg","ec2_security_groups",446537062602
Name,"mgmt-01-r-host-splunk-alb-sg","ec2_security_groups",446537062602
Name,"mgmt-01-rancher-host-mgmt-asg","ec2_instances",446537062602
Name,"mgmt-01-rancher-host-mgmt-sg","ec2_security_groups",446537062602
Name,"mgmt-01-rancher-server-asg","ec2_instances",446537062602
Name,"mgmt-01-rancher-server-private-alb-sg","ec2_security_groups",446537062602
Name,"mgmt-01-rancher-server-public-alb-sg","ec2_security_groups",446537062602
Name,"mgmt-01-rancher-server-sg","ec2_security_groups",446537062602
Name,"mgmt-01-splunk-asg","ec2_instances",446537062602
Name,"mgmt-01-splunk-host-splunk-sg","ec2_security_groups",446537062602
Name,"mgmt-01-vpc",vpcs,446537062602
Name,"rancher-server-rds-rds-3306-sg","ec2_security_groups",446537062602
Name,"stratauth-01-auth-host-sg","ec2_security_groups",446537062602
Name,"stratauth-01-dex-elb-sg","ec2_security_groups",446537062602
Name,"stratauth-01-frontedge-subnet","vpc_subnets",446537062602
Name,"stratauth-01-private-subnet","vpc_subnets",446537062602
Name,"stratauth-01-r-host-auth-djm-alb-sg","ec2_security_groups",446537062602
Name,"stratauth-01-r-host-auth-web-alb-sg","ec2_security_groups",446537062602
Name,"stratauth-01-r-host-urs-alb-alb-sg","ec2_security_groups",446537062602
Name,"stratauth-01-rancher-host-auth-asg","ec2_instances",446537062602
Name,"stratauth-01-rancher-host-auth-sg","ec2_security_groups",446537062602
Name,"stratauth-01-rancher-host-ldap-dex-asg","ec2_instances",446537062602
Name,"stratauth-01-rancher-host-ldap-dex-sg","ec2_security_groups",446537062602
Name,"stratauth-01-rancher-host-ldap-dfa-asg","ec2_instances",446537062602
Name,"stratauth-01-rancher-host-ldap-dfa-sg","ec2_security_groups",446537062602
Name,"stratauth-01-rancher-host-urs-asg","ec2_instances",446537062602
Name,"stratauth-01-rancher-host-urs-sg","ec2_security_groups",446537062602
Name,"stratauth-01-rancher-server-asg","ec2_instances",446537062602
Name,"stratauth-01-rancher-server-private-alb-sg","ec2_security_groups",446537062602
Name,"stratauth-01-rancher-server-public-alb-sg","ec2_security_groups",446537062602
Name,"stratauth-01-rancher-server-sg","ec2_security_groups",446537062602
Name,"stratauth-01-vpc",vpcs,446537062602
Name,"urs-rds-rds-5432-sg","ec2_security_groups",446537062602
Owner,concourse,"ec2_instances",446537062602
Owner,concourse,"ec2_security_groups",446537062602
Owner,concourse,"vpc_subnets",446537062602
Owner,concourse,vpcs,446537062602
Owner,wise1,"ec2_security_groups",446537062602
Owner,wise1,"vpc_subnets",446537062602
Owner,wise1,vpcs,446537062602
Tag,01,"ec2_instances",446537062602
Tag,01,"ec2_security_groups",446537062602
Tag,01,"vpc_subnets",446537062602
Tag,01,vpcs,446537062602
"aws:autoscaling:groupName","mgmt-01-rancher-host-mgmt-asg","ec2_instances",446537062602
"aws:autoscaling:groupName","mgmt-01-rancher-server-asg","ec2_instances",446537062602
"aws:autoscaling:groupName","mgmt-01-splunk-asg","ec2_instances",446537062602
"aws:autoscaling:groupName","stratauth-01-rancher-host-auth-asg","ec2_instances",446537062602
"aws:autoscaling:groupName","stratauth-01-rancher-host-ldap-dex-asg","ec2_instances",446537062602
"aws:autoscaling:groupName","stratauth-01-rancher-host-ldap-dfa-asg","ec2_instances",446537062602
"aws:autoscaling:groupName","stratauth-01-rancher-host-urs-asg","ec2_instances",446537062602
"aws:autoscaling:groupName","stratauth-01-rancher-server-asg","ec2_instances",446537062602
